,constructorId,name,nationality,url
84,86,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
85,87,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
86,88,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
87,89,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
88,90,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor)
89,91,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One)
90,92,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell
91,93,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29
92,94,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership
93,95,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
94,96,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis
95,97,Gilby,British,http://en.wikipedia.org/wiki/Gilby
96,98,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro
97,99,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
98,100,ENB,Belgian,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge
99,101,JBW,British,http://en.wikipedia.org/wiki/JBW
100,102,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.
101,103,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors
102,104,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
103,105,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
104,106,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
105,107,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
106,108,Epperly,American,http://en.wikipedia.org/wiki/Epperly
107,109,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
108,110,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
109,111,Trevis,American,http://en.wikipedia.org/wiki/Trevis
110,112,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski
111,113,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
112,114,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
113,115,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
114,116,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
115,117,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
116,118,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
117,119,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
118,120,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
119,121,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor)
120,122,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
121,123,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team)
122,124,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec
123,125,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
124,126,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
125,127,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
126,128,Gordini,French,http://en.wikipedia.org/wiki/Gordini
127,129,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
128,130,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti
129,131,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
130,132,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
131,133,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
132,134,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
133,135,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
134,136,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
135,137,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
136,138,Nichels,American,http://en.wikipedia.org/wiki/Nichels
137,139,Bromme,American,http://en.wikipedia.org/wiki/Bromme
138,140,Klenk,German,http://en.wikipedia.org/wiki/Klenk
139,141,Simca,French,http://en.wikipedia.org/wiki/Simca
140,142,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor)
141,143,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy
142,144,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
143,145,BMW,German,http://en.wikipedia.org/wiki/BMW
144,146,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
145,147,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
146,148,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash
147,149,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor)
148,150,Deidt,American,http://en.wikipedia.org/wiki/Deidt
149,151,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
150,152,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
151,153,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia
152,154,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
153,155,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
154,156,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
155,157,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
156,158,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
157,159,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
158,160,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
159,161,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
160,162,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
161,163,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
162,164,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
163,167,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
164,166,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
165,168,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
166,169,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
167,170,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
168,171,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
169,172,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
170,173,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
171,174,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
172,175,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
173,176,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
174,177,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
175,178,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
176,179,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
177,180,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
178,181,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
179,182,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
180,183,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
181,184,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
182,185,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
183,186,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
184,187,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
185,188,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren
186,189,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
187,190,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
188,191,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
189,192,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
190,193,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
191,194,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing)
192,195,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
193,196,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra
194,197,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM
195,198,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing)
196,199,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering
197,200,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering
198,201,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus
199,202,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
200,203,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
201,204,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham
202,205,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
203,206,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
204,207,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
205,208,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
206,209,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
207,210,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
208,211,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
209,213,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
210,214,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
211,215,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team
